node,decision,confidence,reason
tcorrugados y trefilados sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
telkom indonesia persero tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tembaga mulia semanan tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
terna - rete elettrica nazionale,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ternium mexico sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
thai binh petrovietnam oil jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
thai cold rolled steel sheet pcl,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
thai rung union car pcl,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
thang long metal wares jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
third construction co ltd of china construction eighth engineering division,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
thu dau mot water jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
thu duc electro mechanical jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
thu duc trading and import export jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tianjin 712 communication & broadcasting,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tianjin b&m science & technology joint-stock,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tianjin futong information science & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tianjin guoan mengguli new materials science & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tien len steel corp jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tifico fiber indonesia tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tinplate co of india ltd/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tns energo nizhny novgorod pjsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tofas turk otomobil fabrikasi as,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
top energy co ltd shanxi,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
toyota peugeot citroen automobile czech sro,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tradeco infraestructura sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
truper herramientas sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
trw sun steering wheels pvt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
umm al houl power qpsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
unggul indah cahaya tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
union chemicals lanka,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
union community,remove,high,matches confirmed noise example exactly (already flagged as extraction noise)
union fenosa gas,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
union tool,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
united co rusal international pjsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
united renewable energy co ltd/taiwan,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
usinas siderurgicas de minas gerais sa usiminas,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
vacom vakuum komponenten & messtechnik,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
valloured solucoes tubulares do brasil,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
vancouver airport authority,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
viet steel trading & manufacturing,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
vietnam engine & agricultural machinery,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
vietnam germany steel pipe jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
vinacomin - halam coal jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
vinacomin coal import & export jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
virtue dragon nickel industry pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
vung ang 2 thermal power jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
w&g beteiligungs-gmbh & co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
wanhua chemical group co ut!,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
waskita beton precast tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
waskita karya persero tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
wijaya karya bangunan gedung tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
wijaya karya beton tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
wijaya karya persero tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
wuhan pingmei wugang joint coking,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
wuhu qinhui automobile fittings manufacturing,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
xinjiang beiken energy engineering stock,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
xtc new energy materials xiamen,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
yancheng lianxin iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
yangtze optical fibre & cable joint stock,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
young hwa construction & engineering,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
yung chi paint & varnish manufacturing,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
yunnan dianzhong industrial development group co l,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
yunnan luoping zinc & electricity,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zf sachs suspension mexico sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhangjiagang dongbu high technology metal,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhangjiakou xuanlong high speed wire,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhejiang asia-pacific mechanical & electronic,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhejiang dewei hard alloy manufacturing,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhejiang feida environmental science & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhejiang geely automobile parts purchasing,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhejiang jiahua energy chemical industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhejiang jingsheng mechanical & electrical,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhejiang kingland pipeline & technologies,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhejiang vie science & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhejiang zhaofeng mechanical & electronic,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhongping energy chemical group machinery manufacturing,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhuhai shenneng hongwan electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zhuoshen non-ferrous metals plant & equipment,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
zoomlion heavy industry science and technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
